machine|version|march|optimization|duration
xeon|9|x86-64|Os|2342.6283190000017
i5|9|x86-64|O1|5047.590775999997
i5|11|x86-64|Ofast|
xeon|12|x86-64|O0|4671.087673999999
xeon|10|x86-64|Oz|2453.451966999999
i5|10|x86-64|Ofast|
i5|10|x86-64|O2|5995.977322999998
i5|11|x86-64|Og|5145.006406
xeon|11|x86-64|O3|2344.857107
i5|10|x86-64|O3|4811.519688
xeon|12|x86-64|Og|2795.572638999999
i5|10|x86-64|Oz|6189.054941999999
xeon|10|x86-64|O0|4673.247964000003
xeon|12|x86-64|Os|2382.001533
xeon|10|x86-64|Og|2665.3920159999993
xeon|9|x86-64|O0|4526.886557999998
xeon|12|x86-64|O2|2338.7610139999997
i5|11|x86-64|O1|5141.092444999998
i5|11|x86-64|O3|6003.739955999998
i5|10|x86-64|Og|5128.399826
xeon|9|x86-64|O1|2562.7522630000008
i5|11|x86-64|Os|4805.341177
i5|12|x86-64|O3|4868.932885999999
i5|11|x86-64|O0|7395.301018
i5|12|x86-64|Os|4837.327159000001
i5|9|x86-64|Os|4792.149555000001
xeon|9|x86-64|Oz|2537.2391570000013
i5|10|x86-64|O1|6321.105432000002
xeon|10|x86-64|O1|2773.5416670000004
i5|10|x86-64|O0|7394.789478000001
xeon|9|x86-64|Og|2584.2535730000004
xeon|11|x86-64|O1|2696.3224940000005
i5|10|x86-64|Os|4945.330529
xeon|11|x86-64|O2|2286.848233
xeon|12|x86-64|O3|2263.1780059999983
i5|12|x86-64|O1|5167.985332000001
i5|12|x86-64|Oz|6207.653944999999
i5|9|x86-64|O0|8508.110212
i5|9|x86-64|Oz|6240.348164
i5|12|x86-64|O0|8495.978808
xeon|10|x86-64|Os|2423.0401250000004
xeon|10|x86-64|O2|2357.694019999999
xeon|10|x86-64|O3|2254.029498
xeon|12|x86-64|O1|2731.779282
i5|11|x86-64|O2|4855.627861
xeon|12|x86-64|Oz|2436.5958269999996
i5|9|x86-64|O3|6024.526644999998
i5|12|x86-64|O2|6009.192083999999
i5|12|x86-64|Og|5184.184379000001
i5|11|x86-64|Oz|6162.130706000002
xeon|9|x86-64|O3|2208.3867540000015
i5|12|x86-64|Ofast|
xeon|11|x86-64|Oz|2509.3077240000007
i5|9|x86-64|Og|6219.184381000003
i5|9|x86-64|Ofast|
xeon|9|x86-64|O2|2266.701466
xeon|11|x86-64|Os|2310.33119
xeon|11|x86-64|O0|4692.185305000003
xeon|11|x86-64|Og|2639.8684329999996
i5|9|x86-64|O2|4800.918378000001
(60 rows)
