xeon;10.3.0;x86-64;O0;no-omit-frame-pointer;copy;478.113227
xeon;10.3.0;x86-64;O0;no-omit-frame-pointer;indexes;616.816235
xeon;10.3.0;x86-64;O0;no-omit-frame-pointer;pkey;118.517380
xeon;10.3.0;x86-64;O0;no-omit-frame-pointer;fkey;134.516866
xeon;10.3.0;x86-64;O0;no-omit-frame-pointer;analyze;48.677993
xeon;10.3.0;x86-64;O0;omit-frame-pointer;copy;476.660318
xeon;10.3.0;x86-64;O0;omit-frame-pointer;indexes;552.201945
xeon;10.3.0;x86-64;O0;omit-frame-pointer;pkey;102.829214
xeon;10.3.0;x86-64;O0;omit-frame-pointer;fkey;125.995812
xeon;10.3.0;x86-64;O0;omit-frame-pointer;analyze;46.900830
xeon;10.3.0;x86-64;O1;no-omit-frame-pointer;copy;265.975313
xeon;10.3.0;x86-64;O1;no-omit-frame-pointer;indexes;311.843938
xeon;10.3.0;x86-64;O1;no-omit-frame-pointer;pkey;61.287664
xeon;10.3.0;x86-64;O1;no-omit-frame-pointer;fkey;70.092081
xeon;10.3.0;x86-64;O1;no-omit-frame-pointer;analyze;32.773536
xeon;10.3.0;x86-64;O1;omit-frame-pointer;copy;257.527259
xeon;10.3.0;x86-64;O1;omit-frame-pointer;indexes;303.503766
xeon;10.3.0;x86-64;O1;omit-frame-pointer;pkey;59.450969
xeon;10.3.0;x86-64;O1;omit-frame-pointer;fkey;66.511565
xeon;10.3.0;x86-64;O1;omit-frame-pointer;analyze;32.582136
xeon;10.3.0;x86-64;O2;no-omit-frame-pointer;copy;262.506764
xeon;10.3.0;x86-64;O2;no-omit-frame-pointer;indexes;274.667795
xeon;10.3.0;x86-64;O2;no-omit-frame-pointer;pkey;55.273637
xeon;10.3.0;x86-64;O2;no-omit-frame-pointer;fkey;65.223085
xeon;10.3.0;x86-64;O2;no-omit-frame-pointer;analyze;32.734764
xeon;10.3.0;x86-64;O2;omit-frame-pointer;copy;257.489780
xeon;10.3.0;x86-64;O2;omit-frame-pointer;indexes;271.529221
xeon;10.3.0;x86-64;O2;omit-frame-pointer;pkey;55.424948
xeon;10.3.0;x86-64;O2;omit-frame-pointer;fkey;62.711871
xeon;10.3.0;x86-64;O2;omit-frame-pointer;analyze;31.732535
xeon;10.3.0;x86-64;O3;no-omit-frame-pointer;copy;248.408427
xeon;10.3.0;x86-64;O3;no-omit-frame-pointer;indexes;280.054927
xeon;10.3.0;x86-64;O3;no-omit-frame-pointer;pkey;55.106223
xeon;10.3.0;x86-64;O3;no-omit-frame-pointer;fkey;64.199485
xeon;10.3.0;x86-64;O3;no-omit-frame-pointer;analyze;32.829547
xeon;10.3.0;x86-64;O3;omit-frame-pointer;copy;242.849908
xeon;10.3.0;x86-64;O3;omit-frame-pointer;indexes;276.757124
xeon;10.3.0;x86-64;O3;omit-frame-pointer;pkey;54.586989
xeon;10.3.0;x86-64;O3;omit-frame-pointer;fkey;61.329203
xeon;10.3.0;x86-64;O3;omit-frame-pointer;analyze;31.358560
xeon;10.3.0;x86-64;Os;no-omit-frame-pointer;copy;285.825831
xeon;10.3.0;x86-64;Os;no-omit-frame-pointer;indexes;373.872944
xeon;10.3.0;x86-64;Os;no-omit-frame-pointer;pkey;70.951067
xeon;10.3.0;x86-64;Os;no-omit-frame-pointer;fkey;79.411951
