machine|version|march|optimization|fp|duration
i5|11.2.0|x86-64|O1|no-omit-frame-pointer|2548.2646710000004
xeon|9.3.0|x86-64|Os|omit-frame-pointer|1342.0884250000001
xeon|10.3.0|native|O2|omit-frame-pointer|1149.840182
i5|10.3.0|x86-64|Os|omit-frame-pointer|2696.082329999999
xeon|9.3.0|x86-64|Ofast|no-omit-frame-pointer|1161.4146349999999
xeon|10.3.0|x86-64|O0|no-omit-frame-pointer|2413.223538999999
xeon|9.3.0|x86-64|Og|no-omit-frame-pointer|1312.8542769999997
xeon|9.3.0|x86-64|O2|no-omit-frame-pointer|1202.8961919999997
xeon|10.3.0|x86-64|Os|omit-frame-pointer|1352.4935789999997
i5|4.8.5|native|Ofast|omit-frame-pointer|
xeon|10.3.0|x86-64|O1|no-omit-frame-pointer|1268.407958
i5|10.3.0|native|O1|omit-frame-pointer|2477.398231
i5|9.3.0|native|O0|omit-frame-pointer|4245.988437999999
xeon|9.3.0|x86-64|O3|no-omit-frame-pointer|1166.3859170000003
i5|10.3.0|native|Ofast|no-omit-frame-pointer|3025.8894250000003
xeon|9.3.0|native|Ofast|no-omit-frame-pointer|1171.1501360000004
i5|10.3.0|x86-64|O1|no-omit-frame-pointer|3171.563426
i5|4.8.5|x86-64|O0|omit-frame-pointer|3594.5448699999997
i5|4.8.5|native|Os|omit-frame-pointer|2710.5026510000007
i5|9.3.0|native|Og|no-omit-frame-pointer|3226.5100130000014
i5|4.8.5|x86-64|O2|omit-frame-pointer|3030.731448000001
i5|4.8.5|x86-64|Og|no-omit-frame-pointer|3220.220843999999
i5|9.3.0|x86-64|Og|no-omit-frame-pointer|2545.1130890000004
xeon|11.2.0|native|Os|omit-frame-pointer|1358.4885629999997
i5|4.8.5|native|O3|omit-frame-pointer|2410.71297
i5|11.2.0|native|O2|omit-frame-pointer|2369.7021259999997
xeon|10.3.0|x86-64|O2|omit-frame-pointer|1167.8012500000002
i5|11.2.0|native|O2|no-omit-frame-pointer|3001.96277
i5|10.3.0|native|O0|no-omit-frame-pointer|3772.3887039999986
xeon|9.3.0|x86-64|O2|omit-frame-pointer|1139.015629
i5|11.2.0|native|Ofast|no-omit-frame-pointer|2962.606811
i5|4.8.5|x86-64|O3|no-omit-frame-pointer|2473.9702360000006
i5|9.3.0|x86-64|O2|omit-frame-pointer|2999.3059359999997
xeon|9.3.0|native|Og|omit-frame-pointer|1245.880085
i5|4.8.5|native|O2|omit-frame-pointer|2956.1584470000003
i5|4.8.5|native|O0|no-omit-frame-pointer|4416.973861
i5|11.2.0|x86-64|O3|no-omit-frame-pointer|2395.39818
xeon|10.3.0|native|O0|no-omit-frame-pointer|2423.895193000001
i5|9.3.0|x86-64|O3|no-omit-frame-pointer|2403.612189
i5|10.3.0|native|O3|no-omit-frame-pointer|2429.665594
xeon|9.3.0|native|Ofast|omit-frame-pointer|1125.786355
xeon|10.3.0|native|O3|no-omit-frame-pointer|1180.3143069999999
i5|11.2.0|x86-64|O0|no-omit-frame-pointer|3884.3910350000006
xeon|11.2.0|x86-64|Ofast|no-omit-frame-pointer|1166.6034030000003
i5|9.3.0|native|O0|no-omit-frame-pointer|3804.029012999999
